strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
KM055540.1	1782A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055539.1	1781A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055538.1	1761A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055537.1	1667A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055536.1	1658A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055535.1	1649A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055534.1	1546A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055533.1	1518A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055532.1	1512A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055531.1	11949_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055530.1	8373_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055529.1	2981A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055528.1	2861A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055527.1	1649A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055526.1	1482A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055525.1	1424A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055524.1	11949_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055523.1	857_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055522.1	8425_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055521.1	8348_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055520.1	8339_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055519.1	748_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055518.1	693A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055517.1	507A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055516.1	494A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055515.1	432A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055514.1	359A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055513.1	2961A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055512.1	2764A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055511.1	1990A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055510.1	1829A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055509.1	1827A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055508.1	1782A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055507.1	1781A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055506.1	1761A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055505.1	1667A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055504.1	1658A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055503.1	1546A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055502.1	1518A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055501.1	1512A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KJ866106.1	CU-CU359/2012	2012-05-22	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866105.1	CU-CU334/2012	2012-02-04	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866104.1	CU-CU331/2012	2012-02-04	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866103.1	CU-B8003/2013	2013-06-12	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866102.1	CU-A54/2013	2013-05-15	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866060.1	CU-CU359/2012	2012-05-22	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866059.1	CU-CU334/2012	2012-02-04	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866058.1	CU-CU331/2012	2012-02-04	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866057.1	CU-B8003/2013	2013-06-12	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ866056.1	CU-A54/2013	2013-05-15	Asia	Thailand	Homo sapiens			Soonnarong et al	Soonnarong,R.,Payungporn,S.,Vichiwattana,P.,Vuthitanachot,C.,Vuthitanachot,V.,Poovorawan,Y.	Center of Excellence in Clinical Virology, Department of Pediatrics
KJ796463.1	BA47	2012-03-19	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796462.1	BA60	2011-12-21	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796461.1	BA125	2011-12-19	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796460.1	BA41	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796459.1	BA70	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796458.1	BA42	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796457.1	KA47	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796456.1	KA48	2012-03-19	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796455.1	KA22	2011-10-24	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796454.1	KA46	2012-03-19	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796453.1	BA106	2011-12-13	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796452.1	BA71	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796451.1	BA35	2011-12-08	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ796450.1	BA117	2011-12-13	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768621.1	KA186	2012-05-11	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768620.1	KA353	2012-07-18	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768619.1	KA187	2012-01-04	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768618.1	KA185	2012-01-04	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768617.1	KA125	2012-01-04	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768616.1	FA90	2012-02-17	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768615.1	FA89	2011-12-13	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768614.1	BA38	2011-12-07	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768613.1	BA93	2011-12-14	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KJ768612.1	BA92	2011-12-13	Africa	Ghana	Homo sapiens			Owusu et al	Owusu,M.,Annan,A.,Corman,V.M.,Larbi,R.,Anti,P.,Drexler,J.F.,Agbenyega,O.,Adu-Sarkodie,Y.,Drosten,C.,Michael,O.	Kumasi Centre for Collaborative Research in Tropical Medicine, Virology
KF514433.1	229E/human/USA/933-40/1993	1993-03-11	North America	USA	Homo sapiens			Town et al	Town,C.D.,Halpin,R.A.,Ransier,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Talbot,H.K.,Wentworth,D.E.,Williams,J.V.	J. Craig Venter Institute
KF514432.1	229E/human/USA/932-72/1993	1993-02-22	North America	USA	Homo sapiens			Town et al	Town,C.D.,Halpin,R.A.,Ransier,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Talbot,H.K.,Wentworth,D.E.,Williams,J.V.	J. Craig Venter Institute
KF514431.1	229E/human/USA/953-49/1995	1995-03-23	North America	USA	Homo sapiens			Town et al	Town,C.D.,Halpin,R.A.,Ransier,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Talbot,H.K.,Wentworth,D.E.,Williams,J.V.	J. Craig Venter Institute
KF514430.1	229E/human/USA/933-50/1993	1993-03-18	North America	USA	Homo sapiens			Town et al	Town,C.D.,Halpin,R.A.,Ransier,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Talbot,H.K.,Wentworth,D.E.,Williams,J.V.	J. Craig Venter Institute
KF514429.1	229E/human/USA/892-11/1989	1989-02-07	North America	USA	Homo sapiens			Town et al	Town,C.D.,Halpin,R.A.,Ransier,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Talbot,H.K.,Wentworth,D.E.,Williams,J.V.	J. Craig Venter Institute
KF293666.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF293665.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF293664.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF293663.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF293662.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285482.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285481.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285480.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285479.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285478.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285477.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
KF285476.1			Europe	Sweden	Homo sapiens	cell		Lundin et al	Lundin,A.,Dijkman,R.,Bergstrom,T.,Kann,N.,Adamiak,B.,Hannoun,C.,Kindler,E.,Jonsdottir,H.,Muth,D.,Muller,M.,Drosten,C.,Thiel,V.,Trybala,E.	University of Gothenburg, Department of Clinical Virology
